FIC_ID,FECHA INICIALIZACION,FECHA FINALIZACION,FECHA REGISTRO
3198172,2025-04-14 0:00:00,2025-05-20 0:00:00,2025-03-28 18:02:41
3198170,2025-04-14 0:00:00,2025-05-20 0:00:00,2025-03-28 18:01:23
3198165,2025-04-14 0:00:00,2025-05-20 0:00:00,2025-03-28 18:03:56
3198164,2025-04-14 0:00:00,2025-05-20 0:00:00,2025-03-28 18:00:03
3198152,2025-04-11 0:00:00,2025-05-08 0:00:00,2025-03-28 17:49:11
3198149,2025-04-11 0:00:00,2025-05-08 0:00:00,2025-03-28 17:46:18
3198139,2025-04-09 0:00:00,2025-04-24 0:00:00,2025-03-28 17:33:07
3198138,2025-04-11 0:00:00,2025-05-08 0:00:00,2025-03-28 17:44:56
3198136,2025-04-11 0:00:00,2025-05-08 0:00:00,2025-03-28 17:43:25
3198123,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 17:25:07
3198122,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 17:25:01
3198121,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 17:24:54
3198120,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 17:24:47
3198106,2025-04-09 0:00:00,2025-04-24 0:00:00,2025-03-28 17:31:19
3198100,2025-04-02 0:00:00,2025-04-15 0:00:00,2025-03-28 17:14:22
3198099,2025-04-09 0:00:00,2025-04-24 0:00:00,2025-03-28 17:11:45
3198092,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 17:02:40
3198091,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 17:02:33
3198090,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 17:02:26
3198082,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 17:02:19
3198056,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 16:38:55
3198055,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 16:38:47
3198054,2025-04-01 0:00:00,2025-04-14 0:00:00,2025-03-28 16:38:45
3198053,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 16:38:39
3198052,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 16:38:30
3198048,2025-04-01 0:00:00,2025-04-14 0:00:00,2025-03-28 16:37:13
3198045,2025-04-01 0:00:00,2025-04-30 0:00:00,2025-03-28 16:32:29
3198042,2025-04-03 0:00:00,2025-05-05 0:00:00,2025-03-28 16:26:11
3197989,2025-04-09 0:00:00,2025-04-24 0:00:00,2025-03-28 16:03:41
3197984,2025-04-09 0:00:00,2025-04-24 0:00:00,2025-03-28 16:02:14
3197981,2025-04-09 0:00:00,2025-04-24 0:00:00,2025-03-28 16:00:47
3197978,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 16:02:33
3197977,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 16:02:27
3197976,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 16:02:21
3197975,2025-04-04 0:00:00,2025-05-07 0:00:00,2025-03-28 16:02:14
